City,Country,Latitude,Longitude,Temperature,Max Temperature,Humidity,Cloud Level,Date,Wind Speed
Pisco,PE,-13.71,-76.2,62.6,62.6,82,0,1538179200,10.29
Bluefields,NI,12.01,-83.77,77.16,77.16,96,92,1538185740,3.42
Hilo,US,19.71,-155.08,81.73,86.0,65,20,1538178960,9.17
Barrow,AR,-38.31,-60.23,59.91,59.91,97,92,1538183822,7.96
Grindavik,IS,63.84,-22.43,43.48,44.6,87,75,1538181000,20.8
Ushuaia,AR,-54.81,-68.31,33.36,33.36,100,88,1538183846,1.7
Dryden,CA,49.79,-92.84,30.2,30.2,86,75,1538183460,12.75
Montrose,AU,-37.81,145.34,53.6,53.6,46,64,1538182800,10.29
Tazovskiy,RU,67.47,78.7,53.76,53.76,68,20,1538185217,22.32
Geraldton,CA,49.72,-86.95,37.4,37.4,76,75,1538182800,4.7
Shingu,JP,33.72,135.99,68.0,68.0,100,75,1538182800,5.82
Rikitea,PF,-23.12,-134.97,71.88,71.88,100,92,1538183822,4.83
Rocha,UY,-34.48,-54.34,61.71,61.71,97,92,1538184364,18.37
Cape Town,ZA,-33.93,18.42,48.2,48.2,81,20,1538179200,5.82
Klaksvik,FO,62.23,-6.59,48.2,48.2,93,92,1538182200,14.99
Kodiak,US,39.95,-94.76,51.08,51.08,68,90,1538182380,8.05
Ilhabela,BR,-23.78,-45.36,71.85,71.85,100,92,1538185743,9.8
Busselton,AU,-33.64,115.35,59.46,59.46,100,76,1538183823,20.15
Alta Floresta,BR,-9.87,-56.08,74.1,74.1,95,0,1538185244,1.63
Mataura,NZ,-46.19,168.86,58.74,58.74,62,80,1538183837,25.08
Arkhangelskoye,RU,54.46,37.62,36.66,36.66,95,76,1538185744,5.99
Dingle,PH,11.0,122.67,78.0,78.0,97,76,1538183957,6.85
Punta Arenas,CL,-53.16,-70.91,41.0,41.0,75,0,1538179200,8.05
Sur,OM,22.57,59.53,82.65,82.65,96,0,1538185405,4.65
Puerto Suarez,BO,-18.96,-57.8,75.09,75.09,87,92,1538185745,2.64
Coihaique,CL,-45.58,-72.07,44.6,44.6,100,90,1538184000,2.24
Kapaa,US,22.08,-159.32,83.44,87.08,67,90,1538182560,6.93
Vila Franca do Campo,PT,37.72,-25.43,69.8,69.8,94,75,1538182800,8.05
Atuona,PF,-9.8,-139.03,79.53,79.53,100,76,1538183863,10.65
Srednekolymsk,RU,67.46,153.71,31.74,31.74,75,92,1538184497,6.62
Arraial do Cabo,BR,-22.97,-42.02,72.69,72.69,98,64,1538183848,6.29
Saldanha,PT,41.42,-6.55,60.27,60.27,69,8,1538184316,6.62
Tiksi,RU,71.64,128.87,29.76,29.76,99,92,1538183823,4.16
Kazan,RU,55.78,49.12,53.6,53.6,76,40,1538182800,29.08
Airai,TL,-8.93,125.41,76.11,76.11,62,0,1538183844,2.37
Tambovka,UA,46.93,35.45,42.78,42.78,89,0,1538185748,2.86
Yalvac,TR,38.3,31.18,46.02,46.02,96,0,1538185748,1.97
Stettler,CA,52.32,-112.71,40.65,40.65,80,88,1538184428,6.17
New Norfolk,AU,-42.78,147.06,53.6,53.6,73,40,1538182800,19.46
Vaini,IN,15.34,74.49,68.73,68.73,98,92,1538183833,2.15
Darnetal,FR,49.45,1.15,46.4,46.4,81,0,1538184600,9.17
Lorengau,PG,-2.02,147.27,84.66,84.66,97,20,1538183892,9.53
Fairbanks,US,64.84,-147.72,54.68,55.04,7,1,1538182680,11.41
Lincoln,US,40.8,-96.67,47.97,49.1,70,90,1538183700,3.36
Batemans Bay,AU,-35.71,150.18,54.66,54.66,78,12,1538185750,6.78
Qasigiannguit,GL,68.82,-51.19,32.0,32.0,100,92,1538182200,10.29
Tezu,IN,27.93,96.16,64.23,64.23,78,56,1538184475,1.7
Saint-Joseph,FR,43.56,6.97,60.67,66.2,87,20,1538184600,4.7
Sangar,RU,63.92,127.47,32.73,32.73,74,12,1538184456,4.05
Bathsheba,BB,13.22,-59.52,82.4,82.4,74,20,1538179200,21.92
Tuktoyaktuk,CA,69.44,-133.03,30.2,30.2,80,90,1538182800,12.75
Pervomayskoye,RU,57.07,86.23,57.45,57.45,68,48,1538185752,11.7
Abbeville,FR,50.11,1.83,44.67,46.4,93,0,1538184600,1.12
Nikolskoye,RU,59.7,30.79,39.2,39.2,69,0,1538181000,2.24
Gizo,IL,31.8,34.94,71.6,71.6,73,0,1538184000,3.36
